user_id,event_date,last_payment_status,failed_payment_count_90d,days_since_last_payment,tenure_months,ARPU,email_token,phone_token
user_34,2025-09-29,failed,2,13,5,10.00,tok_email_34,tok_phone_34
user_35,2025-10-04,paid,0,4,2,14.00,tok_email_35,tok_phone_35
user_36,2025-08-02,failed,1,78,28,17.25,tok_email_36,tok_phone_36
user_37,2025-09-11,paid,0,20,9,12.50,tok_email_37,tok_phone_37
user_38,2025-10-07,failed,5,5,0,6.00,tok_email_38,tok_phone_38
user_39,2025-08-24,paid,0,31,21,20.75,tok_email_39,tok_phone_39
user_40,2025-09-06,failed,2,17,7,13.25,tok_email_40,tok_phone_40
user_41,2025-10-01,paid,0,8,15,10.99,tok_email_41,tok_phone_41
user_42,2025-09-26,failed,1,10,3,9.75,tok_email_42,tok_phone_42
user_43,2025-10-03,paid,0,3,2,11.50,tok_email_43,tok_phone_43
user_44,2025-08-17,failed,2,54,23,15.50,tok_email_44,tok_phone_44
user_45,2025-09-13,paid,0,18,10,16.00,tok_email_45,tok_phone_45
user_46,2025-10-05,failed,1,2,0,8.49,tok_email_46,tok_phone_46
user_47,2025-07-28,paid,0,92,38,21.50,tok_email_47,tok_phone_47
user_48,2025-09-03,failed,3,26,6,12.00,tok_email_48,tok_phone_48
user_49,2025-10-02,paid,0,6,4,13.75,tok_email_49,tok_phone_49
user_50,2025-08-08,failed,2,66,15,9.50,tok_email_50,tok_phone_50
user_51,2025-09-20,paid,0,9,12,18.25,tok_email_51,tok_phone_51
user_52,2025-10-06,failed,1,1,1,10.00,tok_email_52,tok_phone_52
user_53,2025-07-10,paid,0,115,46,19.00,tok_email_53,tok_phone_53
user_54,2025-09-28,failed,2,15,5,11.25,tok_email_54,tok_phone_54
user_55,2025-10-04,paid,0,4,2,14.50,tok_email_55,tok_phone_55
user_56,2025-08-03,failed,1,80,29,16.75,tok_email_56,tok_phone_56
user_57,2025-09-09,paid,0,21,8,12.00,tok_email_57,tok_phone_57
user_58,2025-10-07,failed,2,7,1,7.50,tok_email_58,tok_phone_58
user_59,2025-08-23,paid,0,32,22,22.00,tok_email_59,tok_phone_59
user_60,2025-09-04,failed,3,19,6,13.00,tok_email_60,tok_phone_60
user_61,2025-10-01,paid,0,8,14,11.75,tok_email_61,tok_phone_61
user_62,2025-09-25,failed,1,11,3,9.25,tok_email_62,tok_phone_62
user_63,2025-10-03,paid,0,3,2,10.99,tok_email_63,tok_phone_63
user_64,2025-08-16,failed,2,58,21,15.00,tok_email_64,tok_phone_64
user_65,2025-09-14,paid,0,17,10,16.50,tok_email_65,tok_phone_65
user_66,2025-10-05,failed,1,2,0,8.99,tok_email_66,tok_phone_66
user_67,2025-07-26,paid,0,98,39,20.25,tok_email_67,tok_phone_67
user_68,2025-09-02,failed,4,24,6,12.75,tok_email_68,tok_phone_68
user_69,2025-10-02,paid,0,6,5,13.50,tok_email_69,tok_phone_69
user_70,2025-08-07,failed,2,70,17,9.00,tok_email_70,tok_phone_70
user_71,2025-09-19,paid,0,9,11,17.75,tok_email_71,tok_phone_71
user_72,2025-10-06,failed,1,1,1,10.50,tok_email_72,tok_phone_72
user_73,2025-07-08,paid,0,118,45,18.00,tok_email_73,tok_phone_73
user_74,2025-09-30,failed,2,12,5,11.00,tok_email_74,tok_phone_74
user_75,2025-10-04,paid,0,4,2,14.25,tok_email_75,tok_phone_75
user_76,2025-08-04,failed,1,82,27,16.00,tok_email_76,tok_phone_76
user_77,2025-09-08,paid,0,20,8,12.25,tok_email_77,tok_phone_77
user_78,2025-10-07,failed,6,5,0,6.99,tok_email_78,tok_phone_78
user_79,2025-08-22,paid,0,30,23,21.75,tok_email_79,tok_phone_79
user_80,2025-09-03,failed,2,18,6,13.00,tok_email_80,tok_phone_80
user_81,2025-10-01,paid,0,8,14,11.00,tok_email_81,tok_phone_81
user_82,2025-09-24,failed,1,11,3,9.50,tok_email_82,tok_phone_82
user_83,2025-10-03,paid,0,3,2,10.75,tok_email_83,tok_phone_83
user_84,2025-08-15,failed,2,52,22,15.25,tok_email_84,tok_phone_84
user_85,2025-09-11,paid,0,19,9,16.00,tok_email_85,tok_phone_85
user_86,2025-10-05,failed,1,2,0,8.49,tok_email_86,tok_phone_86
user_87,2025-07-24,paid,0,100,41,20.00,tok_email_87,tok_phone_87
user_88,2025-09-01,failed,3,25,6,12.00,tok_email_88,tok_phone_88
user_89,2025-10-02,paid,0,6,4,13.25,tok_email_89,tok_phone_89
user_90,2025-08-06,failed,2,68,16,9.75,tok_email_90,tok_phone_90
user_91,2025-09-18,paid,0,9,13,17.00,tok_email_91,tok_phone_91
user_92,2025-10-06,failed,1,1,1,10.00,tok_email_92,tok_phone_92
user_93,2025-07-06,paid,0,121,47,19.50,tok_email_93,tok_phone_93
user_94,2025-09-29,failed,2,14,5,11.75,tok_email_94,tok_phone_94
user_95,2025-10-04,paid,0,4,2,14.00,tok_email_95,tok_phone_95
user_96,2025-08-05,failed,1,85,29,16.50,tok_email_96,tok_phone_96
user_97,2025-09-07,paid,0,21,7,12.00,tok_email_97,tok_phone_97
user_98,2025-10-07,failed,2,9,1,7.25,tok_email_98,tok_phone_98
user_99,2025-08-21,paid,0,29,24,22.50,tok_email_99,tok_phone_99
user_100,2025-09-02,failed,3,26,6,13.00,tok_email_100,tok_phone_100
